OBJECTID,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN,CODIGOCTMESTACIONREDMETRO
1,5,330338,C2,C-2,1,1,12,,517,2,TI,I,AZUQUECA,19,046,AZUQUECA DE HENARES,E1,Paseo de la Estacion SN SN,20010621,19930101,,11511.4911,30,5,93_151,,,5__2_____1_IT_1_5_12__517_TI_I_2,,,,5__2___,5__2_____1_IT_1,5_12,5_12_,5_12_517,
2,5,330357,C2,C-2,2,1,12,,518,18,TI,I,AZUQUECA,19,046,AZUQUECA DE HENARES,E1,Paseo de la Estacion SN SN,20010621,19930101,,4060.4553,30,5,93_151,,,5__2_____2_IT_1_5_12__518_TI_I_18,,,,5__2___,5__2_____2_IT_1,5_12,5_12_,5_12_518,
3,5,364228,C8,C-8,1,1,12,,517,2,TI,I,AZUQUECA,19,046,AZUQUECA DE HENARES,E1,Paseo de la Estacion SN SN,20190919,20181105,,11511.4911,30,5,93_151,,,5__8_____1_IT_1_5_12__517_TI_I_2,,,,5__8___,5__8_____1_IT_1,5_12,5_12_,5_12_517,
4,5,364229,C8,C-8,2,1,12,,518,31,TI,I,AZUQUECA,19,046,AZUQUECA DE HENARES,E1,Paseo de la Estacion SN SN,20190919,20181105,,4060.4553,30,5,93_151,,,5__8_____2_IT_1_5_12__518_TI_I_31,,,,5__8___,5__8_____2_IT_1,5_12,5_12_,5_12_518,
5,5,370837,C8A,C-8a,1,1,12,,517,2,TI,I,AZUQUECA,19,046,AZUQUECA DE HENARES,E1,Paseo de la Estacion SN SN,20240125,20240101,,,30,5,93_151,,,5__8_A____1_IT_1_5_12__517_TI_I_2,,,,5__8_A__,5__8_A____1_IT_1,5_12,5_12_,5_12_517,
6,5,370838,C8A,C-8a,2,1,12,,518,32,TI,I,AZUQUECA,19,046,AZUQUECA DE HENARES,E1,Paseo de la Estacion SN SN,20240125,20240101,,4060.4553,30,5,93_151,,,5__8_A____2_IT_1_5_12__518_TI_I_32,,,,5__8_A__,5__8_A____2_IT_1,5_12,5_12_,5_12_518,
7,5,330338,C2,C-2,1,1,38,,571,1,TI,C,GUADALAJARA,19,130,GUADALAJARA,E1,Plaza de la Estación SN SN,20010621,19930101,,0,0,5,93_224,,,5__2_____1_IT_1_5_38__571_TI_C_1,,,,5__2___,5__2_____1_IT_1,5_38,5_38_,5_38_571,
8,5,330357,C2,C-2,2,1,38,,572,19,TI,C,GUADALAJARA,19,130,GUADALAJARA,E1,Plaza de la Estación SN SN,20010621,19930101,,11511.1731,30,5,93_224,,,5__2_____2_IT_1_5_38__572_TI_C_19,,,,5__2___,5__2_____2_IT_1,5_38,5_38_,5_38_572,
9,5,364228,C8,C-8,1,1,38,,571,1,TI,C,GUADALAJARA,19,130,GUADALAJARA,E1,Plaza de la Estación SN SN,20190919,20181105,,0,0,5,93_224,,,5__8_____1_IT_1_5_38__571_TI_C_1,,,,5__8___,5__8_____1_IT_1,5_38,5_38_,5_38_571,
10,5,364229,C8,C-8,2,1,38,,572,32,TI,C,GUADALAJARA,19,130,GUADALAJARA,E1,Plaza de la Estación SN SN,20190919,20181105,,11511.1731,30,5,93_224,,,5__8_____2_IT_1_5_38__572_TI_C_32,,,,5__8___,5__8_____2_IT_1,5_38,5_38_,5_38_572,
11,5,370837,C8A,C-8a,1,1,38,,571,1,TI,C,GUADALAJARA,19,130,GUADALAJARA,E1,Plaza de la Estación SN SN,20240125,20240101,,,0,5,93_224,,,5__8_A____1_IT_1_5_38__571_TI_C_1,,,,5__8_A__,5__8_A____1_IT_1,5_38,5_38_,5_38_571,
12,5,370838,C8A,C-8a,2,1,38,,572,33,TI,C,GUADALAJARA,19,130,GUADALAJARA,E1,Plaza de la Estación SN SN,20240125,20240101,,11511.1731,30,5,93_224,,,5__8_A____2_IT_1_5_38__572_TI_C_33,,,,5__8_A__,5__8_A____2_IT_1,5_38,5_38_,5_38_572,
13,5,330338,C2,C-2,1,1,2,,493,5,TI,I,ALCALÁ DE HENARES,28,005,ALCALA DE HENARES,B3,Calle   Pedro Lainez N 2,20010621,19930101,,3253.4389,30,5,93_125,,,5__2_____1_IT_1_5_2__493_TI_I_5,,,,5__2___,5__2_____1_IT_1,5_2,5_2_,5_2_493,
14,5,330357,C2,C-2,2,1,2,,494,15,TI,I,ALCALÁ DE HENARES,28,005,ALCALA DE HENARES,B3,Calle   Pedro Lainez N 2,20010621,19930101,,2443.8146,30,5,93_125,,,5__2_____2_IT_1_5_2__494_TI_I_15,,,,5__2___,5__2_____2_IT_1,5_2,5_2_,5_2_494,
15,5,364227,C7,C-7,2,1,2,,494,24,TI,C,ALCALÁ DE HENARES,28,005,ALCALA DE HENARES,B3,Calle   Pedro Lainez N 2,20190919,20181105,,2443.8146,30,5,93_125,,,5__7_____2_IT_1_5_2__494_TI_C_24,,,,5__7___,5__7_____2_IT_1,5_2,5_2_,5_2_494,
16,5,364228,C8,C-8,1,1,2,,493,5,TI,I,ALCALÁ DE HENARES,28,005,ALCALA DE HENARES,B3,Calle   Pedro Lainez N 2,20190919,20181105,,3253.4389,30,5,93_125,,,5__8_____1_IT_1_5_2__493_TI_I_5,,,,5__8___,5__8_____1_IT_1,5_2,5_2_,5_2_493,
17,5,364229,C8,C-8,2,1,2,,494,28,TI,I,ALCALÁ DE HENARES,28,005,ALCALA DE HENARES,B3,Calle   Pedro Lainez N 2,20190919,20181105,,2443.8146,30,5,93_125,,,5__8_____2_IT_1_5_2__494_TI_I_28,,,,5__8___,5__8_____2_IT_1,5_2,5_2_,5_2_494,
18,5,364226,C7,C-7,1,1,2,,493,1,TI,C,ALCALÁ DE HENARES,28,005,ALCALA DE HENARES,B3,Calle   Pedro Lainez N 2,20190919,20181105,,0,0,5,93_125,,,5__7_____1_IT_1_5_2__493_TI_C_1,,,,5__7___,5__7_____1_IT_1,5_2,5_2_,5_2_493,
19,5,370837,C8A,C-8a,1,1,2,,493,5,TI,I,ALCALÁ DE HENARES,28,005,ALCALA DE HENARES,B3,Calle   Pedro Lainez N 2,20240125,20240101,,,30,5,93_125,,,5__8_A____1_IT_1_5_2__493_TI_I_5,,,,5__8_A__,5__8_A____1_IT_1,5_2,5_2_,5_2_493,
20,5,370838,C8A,C-8a,2,1,2,,494,29,TI,I,ALCALÁ DE HENARES,28,005,ALCALA DE HENARES,B3,Calle   Pedro Lainez N 2,20240125,20240101,,2443.8146,30,5,93_125,,,5__8_A____2_IT_1_5_2__494_TI_I_29,,,,5__8_A__,5__8_A____2_IT_1,5_2,5_2_,5_2_494,
21,5,330338,C2,C-2,1,1,3,,495,4,TI,I,ALCALÁ DE HENARES UNIVERSIDAD,28,005,ALCALA DE HENARES,B3,Ctra del  Campus SN SN,20010621,19930101,,4487.5563,30,5,93_126,,,5__2_____1_IT_1_5_3__495_TI_I_4,,,,5__2___,5__2_____1_IT_1,5_3,5_3_,5_3_495,
22,5,330357,C2,C-2,2,1,3,,496,16,TI,I,ALCALÁ DE HENARES UNIVERSIDAD,28,005,ALCALA DE HENARES,B3,Ctra del  Campus SN SN,20010621,19930101,,3256.3125,30,5,93_126,,,5__2_____2_IT_1_5_3__496_TI_I_16,,,,5__2___,5__2_____2_IT_1,5_3,5_3_,5_3_496,
23,5,364228,C8,C-8,1,1,3,,495,4,TI,I,ALCALÁ DE HENARES UNIVERSIDAD,28,005,ALCALA DE HENARES,B3,Ctra del  Campus SN SN,20190919,20181105,,4487.5563,30,5,93_126,,,5__8_____1_IT_1_5_3__495_TI_I_4,,,,5__8___,5__8_____1_IT_1,5_3,5_3_,5_3_495,
24,5,364229,C8,C-8,2,1,3,,496,29,TI,I,ALCALÁ DE HENARES UNIVERSIDAD,28,005,ALCALA DE HENARES,B3,Ctra del  Campus SN SN,20190919,20181105,,3256.3125,30,5,93_126,,,5__8_____2_IT_1_5_3__496_TI_I_29,,,,5__8___,5__8_____2_IT_1,5_3,5_3_,5_3_496,
25,5,370837,C8A,C-8a,1,1,3,,495,4,TI,I,ALCALÁ DE HENARES UNIVERSIDAD,28,005,ALCALA DE HENARES,B3,Ctra del  Campus SN SN,20240125,20240101,,,30,5,93_126,,,5__8_A____1_IT_1_5_3__495_TI_I_4,,,,5__8_A__,5__8_A____1_IT_1,5_3,5_3_,5_3_495,
26,5,370838,C8A,C-8a,2,1,3,,496,30,TI,I,ALCALÁ DE HENARES UNIVERSIDAD,28,005,ALCALA DE HENARES,B3,Ctra del  Campus SN SN,20240125,20240101,,3256.3125,30,5,93_126,,,5__8_A____2_IT_1_5_3__496_TI_I_30,,,,5__8_A__,5__8_A____2_IT_1,5_3,5_3_,5_3_496,
27,5,330338,C2,C-2,1,1,106,,697,6,TI,I,"GARENA, LA",28,005,ALCALA DE HENARES,B3,Calle   Fausto Elhuyar N 6,20010621,19930101,,2443.1749,30,5,92_218,,,5__2_____1_IT_1_5_106__697_TI_I_6,,,,5__2___,5__2_____1_IT_1,5_106,5_106_,5_106_697,
28,5,330357,C2,C-2,2,1,106,,698,14,TI,I,"GARENA, LA",28,005,ALCALA DE HENARES,B3,Calle   Fausto Elhuyar N 6,20010621,19930101,,4495.2335,30,5,92_218,,,5__2_____2_IT_1_5_106__698_TI_I_14,,,,5__2___,5__2_____2_IT_1,5_106,5_106_,5_106_698,
29,5,364227,C7,C-7,2,1,106,,698,23,TI,I,"GARENA, LA",28,005,ALCALA DE HENARES,B3,Calle   Fausto Elhuyar N 6,20190919,20181105,,4495.4321,30,5,92_218,,,5__7_____2_IT_1_5_106__698_TI_I_23,,,,5__7___,5__7_____2_IT_1,5_106,5_106_,5_106_698,
30,5,364228,C8,C-8,1,1,106,,697,6,TI,I,"GARENA, LA",28,005,ALCALA DE HENARES,B3,Calle   Fausto Elhuyar N 6,20190919,20181105,,2443.1749,30,5,92_218,,,5__8_____1_IT_1_5_106__697_TI_I_6,,,,5__8___,5__8_____1_IT_1,5_106,5_106_,5_106_697,
31,5,364229,C8,C-8,2,1,106,,698,27,TI,I,"GARENA, LA",28,005,ALCALA DE HENARES,B3,Calle   Fausto Elhuyar N 6,20190919,20181105,,4495.2335,30,5,92_218,,,5__8_____2_IT_1_5_106__698_TI_I_27,,,,5__8___,5__8_____2_IT_1,5_106,5_106_,5_106_698,
32,5,364226,C7,C-7,1,1,106,,697,2,TI,I,"GARENA, LA",28,005,ALCALA DE HENARES,B3,Calle   Fausto Elhuyar N 6,20190919,20181105,,2443.1749,30,5,92_218,,,5__7_____1_IT_1_5_106__697_TI_I_2,,,,5__7___,5__7_____1_IT_1,5_106,5_106_,5_106_697,
33,5,370837,C8A,C-8a,1,1,106,,697,6,TI,I,"GARENA, LA",28,005,ALCALA DE HENARES,B3,Calle   Fausto Elhuyar N 6,20240125,20240101,,,30,5,92_218,,,5__8_A____1_IT_1_5_106__697_TI_I_6,,,,5__8_A__,5__8_A____1_IT_1,5_106,5_106_,5_106_697,
34,5,370838,C8A,C-8a,2,1,106,,698,28,TI,I,"GARENA, LA",28,005,ALCALA DE HENARES,B3,Calle   Fausto Elhuyar N 6,20240125,20240101,,4495.2335,30,5,92_218,,,5__8_A____2_IT_1_5_106__698_TI_I_28,,,,5__8_A__,5__8_A____2_IT_1,5_106,5_106_,5_106_698,
35,5,340742,C4A,C-4a,1,1,4,,498,15,TI,T,ALCOBENDAS-S.S. DE LOS REYES,28,006,ALCOBENDAS,B1,Plaza de Francisco Casillas N 1,20090625,20090625,,1661.1851,30,5,93_127,,,5__4_A____1_IT_1_5_4__498_TI_T_15,,,,5__4_A__,5__4_A____1_IT_1,5_4,5_4_,5_4_498,
36,5,340743,C4A,C-4a,2,1,4,,497,1,TI,T,ALCOBENDAS-S.S. DE LOS REYES,28,006,ALCOBENDAS,B1,Plaza de Francisco Casillas N 1,20090625,20090625,,0,0,5,93_127,,,5__4_A____2_IT_1_5_4__497_TI_T_1,,,,5__4_A__,5__4_A____2_IT_1,5_4,5_4_,5_4_497,
37,5,340742,C4A,C-4a,1,1,85,,672,14,TI,I,VALDELASFUENTES,28,006,ALCOBENDAS,B1,Calle del Marqués de la Valdavia N 140,20090625,20090625,,2624.5187,30,5,93_363,,,5__4_A____1_IT_1_5_85__672_TI_I_14,,,,5__4_A__,5__4_A____1_IT_1,5_85,5_85_,5_85_672,
38,5,340743,C4A,C-4a,2,1,85,,671,2,TI,I,VALDELASFUENTES,28,006,ALCOBENDAS,B1,Calle del Marqués de la Valdavia N 140,20090625,20090625,,1658.4178,30,5,93_363,,,5__4_A____2_IT_1_5_85__671_TI_I_2,,,,5__4_A__,5__4_A____2_IT_1,5_85,5_85_,5_85_671,
39,5,332752,C5,C-5,2,1,5,,500,20,TI,I,ALCORCÓN,28,007,ALCORCON,B1,Avda de Móstoles N 12,20040303,20040228,,1586.1497,30,5,92_89,,,5__5_____2_IT_1_5_5__500_TI_I_20,,,,5__5___,5__5_____2_IT_1,5_5,5_5_,5_5_500,
40,5,332751,C5,C-5,1,1,5,,499,4,TI,I,ALCORCÓN,28,007,ALCORCON,B1,Avda de Móstoles N 12,20040303,20040228,,1324.079,30,5,92_89,,,5__5_____1_IT_1_5_5__499_TI_I_4,,,,5__5___,5__5_____1_IT_1,5_5,5_5_,5_5_499,
41,5,332752,C5,C-5,2,1,66,,628,21,TI,I,"RETAMAS, LAS",28,007,ALCORCON,B1,Avda de Retamas N 2,20040303,20040228,,1323.4847,30,5,93_313,,,5__5_____2_IT_1_5_66__628_TI_I_21,,,,5__5___,5__5_____2_IT_1,5_66,5_66_,5_66_628,
42,5,332751,C5,C-5,1,1,66,,627,3,TI,I,"RETAMAS, LAS",28,007,ALCORCON,B1,Avda de Retamas N 2,20040303,20040228,,2372.407,30,5,93_313,,,5__5_____1_IT_1_5_66__627_TI_I_3,,,,5__5___,5__5_____1_IT_1,5_66,5_66_,5_66_627,
43,5,332752,C5,C-5,2,1,72,,640,19,TI,I,SAN JOSÉ DE VALDERAS,28,007,ALCORCON,B1,Calle de Sahagún N 36,20040303,20040228,,3237.5642,30,5,93_336,,,5__5_____2_IT_1_5_72__640_TI_I_19,,,,5__5___,5__5_____2_IT_1,5_72,5_72_,5_72_640,
44,5,332751,C5,C-5,1,1,72,,639,5,TI,I,SAN JOSÉ DE VALDERAS,28,007,ALCORCON,B1,Calle de Sahagún N 36,20040303,20040228,,1585.0715,30,5,93_336,,,5__5_____1_IT_1_5_72__639_TI_I_5,,,,5__5___,5__5_____1_IT_1,5_72,5_72_,5_72_639,
45,5,364228,C8,C-8,1,1,6,,501,29,TI,I,ALPEDRETE,28,010,ALPEDRETE,C1,Cmno de la Estación N 36,20190919,20181105,,2694.7756,30,5,93_134,,,5__8_____1_IT_1_5_6__501_TI_I_29,,,,5__8___,5__8_____1_IT_1,5_6,5_6_,5_6_501,
46,5,364229,C8,C-8,2,1,6,,502,4,TI,I,ALPEDRETE,28,010,ALPEDRETE,C1,Cmno de la Estación N 36,20190919,20181105,,6013.409,30,5,93_134,,,5__8_____2_IT_1_5_6__502_TI_I_4,,,,5__8___,5__8_____2_IT_1,5_6,5_6_,5_6_502,
47,5,364228,C8,C-8,1,1,50,,595,28,TI,I,"NEGRALES, LOS",28,010,ALPEDRETE,C1,Avda de la Reina Victoria N 47,20190919,20181105,,1957.8747,30,5,93_279,,,5__8_____1_IT_1_5_50__595_TI_I_28,,,,5__8___,5__8_____1_IT_1,5_50,5_50_,5_50_595,
48,5,364229,C8,C-8,2,1,50,,596,5,TI,I,"NEGRALES, LOS",28,010,ALPEDRETE,C1,Avda de la Reina Victoria N 47,20190919,20181105,,2692.7499,30,5,93_279,,,5__8_____2_IT_1_5_50__596_TI_I_5,,,,5__8___,5__8_____2_IT_1,5_50,5_50_,5_50_596,
49,5,364222,C3,C-3,1,1,8,,506,1,TI,C,ARANJUEZ,28,013,ARANJUEZ,C1,Calle de la Estación N 5,20190919,20181105,,0,0,5,93_140,,,5__3_____1_IT_1_5_8__506_TI_C_1,,,,5__3___,5__3_____1_IT_1,5_8,5_8_,5_8_506,
50,5,364223,C3,C-3,2,1,8,,505,13,TI,C,ARANJUEZ,28,013,ARANJUEZ,C1,Calle de la Estación N 5,20190919,20181105,,14696.838,30,5,93_140,,,5__3_____2_IT_1_5_8__505_TI_C_13,,,,5__3___,5__3_____2_IT_1,5_8,5_8_,5_8_505,
51,5,345745,C9,C-9,1,1,16,,527,1,TI,C,CERCEDILLA,28,038,CERCEDILLA,C2,Calle del Cascajal N 7,20110919,20110922,,0,0,5,93_169,,,5__9_____1_IT_1_5_16__527_TI_C_1,,,,5__9___,5__9_____1_IT_1,5_16,5_16_,5_16_527,
52,5,345746,C9,C-9,2,1,16,,528,3,TI,C,CERCEDILLA,28,038,CERCEDILLA,C2,Calle del Cascajal N 7,20110919,20110922,,11057.6529,30,5,93_169,,,5__9_____2_IT_1_5_16__528_TI_C_3,,,,5__9___,5__9_____2_IT_1,5_16,5_16_,5_16_528,
53,5,364228,C8,C-8,1,1,16,,528,32,TI,T,CERCEDILLA,28,038,CERCEDILLA,C2,Calle del Cascajal N 7,20190919,20181105,,5311.5438,30,5,93_169,,,5__8_____1_IT_1_5_16__528_TI_T_32,,,,5__8___,5__8_____1_IT_1,5_16,5_16_,5_16_528,
54,5,364229,C8,C-8,2,1,16,,527,1,TI,T,CERCEDILLA,28,038,CERCEDILLA,C2,Calle del Cascajal N 7,20190919,20181105,,0,0,5,93_169,,,5__8_____2_IT_1_5_16__527_TI_T_1,,,,5__8___,5__8_____2_IT_1,5_16,5_16_,5_16_527,
55,5,345745,C9,C-9,1,1,63,,621,2,TI,I,PUERTO NAVACERRADA,28,038,CERCEDILLA,C2,Calle de la Virgen de las Nieves N 7,20110919,20110922,,11042.3676,30,5,93_308,,,5__9_____1_IT_1_5_63__621_TI_I_2,,,,5__9___,5__9_____1_IT_1,5_63,5_63_,5_63_621,
56,5,345746,C9,C-9,2,1,63,,622,2,TI,I,PUERTO NAVACERRADA,28,038,CERCEDILLA,C2,Calle de la Virgen de las Nieves N 7,20110919,20110922,,7068.9654,30,5,93_308,,,5__9_____2_IT_1_5_63__622_TI_I_2,,,,5__9___,5__9_____2_IT_1,5_63,5_63_,5_63_622,
57,5,364222,C3,C-3,1,1,19,,534,2,TI,I,CIEMPOZUELOS,28,040,CIEMPOZUELOS,B3,Avda de San Juan de Dios N 7,20190919,20181105,,14698.6256,30,5,93_171,,,5__3_____1_IT_1_5_19__534_TI_I_2,,,,5__3___,5__3_____1_IT_1,5_19,5_19_,5_19_534,
58,5,364223,C3,C-3,2,1,19,,533,12,TI,I,CIEMPOZUELOS,28,040,CIEMPOZUELOS,B3,Avda de San Juan de Dios N 7,20190919,20181105,,6510.7527,30,5,93_171,,,5__3_____2_IT_1_5_19__533_TI_I_12,,,,5__3___,5__3_____2_IT_1,5_19,5_19_,5_19_533,
59,5,340744,C4B,C-4b,1,1,21,,538,15,TI,T,COLMENAR VIEJO,28,045,COLMENAR VIEJO,B3,Calle de la Doctora Nogales de la Morena SN SN,20090625,20090625,,10783.7541,30,5,93_174,,,5__4_B____1_IT_1_5_21__538_TI_T_15,,,,5__4_B__,5__4_B____1_IT_1,5_21,5_21_,5_21_538,
60,5,340745,C4B,C-4b,2,1,21,,537,1,TI,T,COLMENAR VIEJO,28,045,COLMENAR VIEJO,B3,Calle de la Doctora Nogales de la Morena SN SN,20090625,20090625,,0,0,5,93_174,,,5__4_B____2_IT_1_5_21__537_TI_T_1,,,,5__4_B__,5__4_B____2_IT_1,5_21,5_21_,5_21_537,
61,5,364228,C8,C-8,1,1,20,,535,30,TI,I,COLLADO MEDIANO,28,046,COLLADO MEDIANO,C1,Paseo de los Rosales N 47,20190919,20181105,,6016.2994,30,5,93_173,,,5__8_____1_IT_1_5_20__535_TI_I_30,,,,5__8___,5__8_____1_IT_1,5_20,5_20_,5_20_535,
62,5,364229,C8,C-8,2,1,20,,536,3,TI,I,COLLADO MEDIANO,28,046,COLLADO MEDIANO,C1,Paseo de los Rosales N 47,20190919,20181105,,3735.8039,30,5,93_173,,,5__8_____2_IT_1_5_20__536_TI_I_3,,,,5__8___,5__8_____2_IT_1,5_20,5_20_,5_20_536,
63,5,361622,C10,C-10,1,1,91,,682,1,TI,C,VILLALBA,28,047,COLLADO VILLALBA,B3,Plaza de la Estación N 1,20180312,20170126,,0,0,5,92_371,,,5__10_____1_IT_1_5_91__682_TI_C_1,,,,5__10___,5__10_____1_IT_1,5_91,5_91_,5_91_682,
64,5,361623,C10,C-10,2,1,91,,681,21,TI,C,VILLALBA,28,047,COLLADO VILLALBA,B3,Plaza de la Estación N 1,20180312,20170126,,3867.5876,30,5,92_371,,,5__10_____2_IT_1_5_91__681_TI_C_21,,,,5__10___,5__10_____2_IT_1,5_91,5_91_,5_91_681,
65,5,364228,C8,C-8,1,1,91,,681,27,TI,I,VILLALBA,28,047,COLLADO VILLALBA,B3,Plaza de la Estación N 1,20190919,20181105,,3867.5876,30,5,92_371,,,5__8_____1_IT_1_5_91__681_TI_I_27,,,,5__8___,5__8_____1_IT_1,5_91,5_91_,5_91_681,
66,5,364229,C8,C-8,2,1,91,,682,6,TI,I,VILLALBA,28,047,COLLADO VILLALBA,B3,Plaza de la Estación N 1,20190919,20181105,,1960.5348,30,5,92_371,,,5__8_____2_IT_1_5_91__682_TI_I_6,,,,5__8___,5__8_____2_IT_1,5_91,5_91_,5_91_682,
67,5,370837,C8A,C-8a,1,1,91,,681,27,TI,I,VILLALBA,28,047,COLLADO VILLALBA,B3,Plaza de la Estación N 1,20240125,20240101,,,30,5,92_371,,,5__8_A____1_IT_1_5_91__681_TI_I_27,,,,5__8_A__,5__8_A____1_IT_1,5_91,5_91_,5_91_681,
